epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7413,1.35536,2.2239,1.47885,0.61348,0.06335,0.16009,0.09656,1.54272,2.94571,1.94781,0.000647619,0.000647619,0.000647619
2,19.7086,1.38409,1.76244,1.56829,0.38835,0.24525,0.21846,0.11533,1.89433,2.8426,2.11261,0.00128826,0.00128826,0.00128826
3,29.0244,1.40096,1.8075,1.54389,0.37733,0.36109,0.30409,0.1481,1.82067,2.79754,2.16707,0.00190251,0.00190251,0.00190251
4,38.5341,1.37448,1.76282,1.5073,0.41162,0.26063,0.25464,0.11973,1.81402,7.12638,2.59571,0.0018812,0.0018812,0.0018812
5,47.9835,1.4429,1.81854,1.56376,0.38838,0.28235,0.25746,0.12026,1.8851,4.31719,2.30187,0.0018416,0.0018416,0.0018416
6,57.2035,1.38618,1.73687,1.58073,0.3311,0.39005,0.27584,0.12435,1.76272,3.10512,2.18474,0.001802,0.001802,0.001802
7,66.2961,1.2884,1.55277,1.46825,0.35308,0.43167,0.29326,0.13686,1.75851,3.02683,2.15052,0.0017624,0.0017624,0.0017624
8,75.4585,1.32501,1.57931,1.49202,0.36832,0.40633,0.27648,0.12553,1.8575,2.8547,2.14831,0.0017228,0.0017228,0.0017228
9,84.457,1.33315,1.53298,1.46546,0.45468,0.3901,0.34106,0.18919,1.63932,2.46877,2.03479,0.0016832,0.0016832,0.0016832
10,93.6261,1.18248,1.3901,1.44032,0.47921,0.42172,0.40346,0.22086,1.71374,2.75743,2.04142,0.0016436,0.0016436,0.0016436
11,102.749,1.30388,1.41539,1.47092,0.48257,0.42353,0.37009,0.18813,1.75994,2.43269,2.08659,0.001604,0.001604,0.001604
12,111.782,1.31828,1.36862,1.43835,0.45026,0.41719,0.36606,0.17429,1.74449,2.39594,2.13143,0.0015644,0.0015644,0.0015644
13,120.919,1.31185,1.46417,1.46898,0.51564,0.40753,0.42321,0.21494,1.69402,2.23321,2.03443,0.0015248,0.0015248,0.0015248
14,129.958,1.28456,1.38715,1.44245,0.49409,0.39819,0.40988,0.22621,1.59475,2.30763,1.90965,0.0014852,0.0014852,0.0014852
15,139.102,1.2689,1.36803,1.42763,0.53566,0.37195,0.38614,0.23561,1.53855,2.16393,1.89038,0.0014456,0.0014456,0.0014456
16,148.575,1.15269,1.2497,1.40832,0.48865,0.38733,0.36629,0.22485,1.57249,2.22081,1.9513,0.001406,0.001406,0.001406
17,157.737,1.15061,1.25697,1.40598,0.5257,0.41538,0.40047,0.23612,1.56848,2.10706,1.96562,0.0013664,0.0013664,0.0013664
18,166.876,1.23498,1.22322,1.41187,0.52555,0.39367,0.394,0.23894,1.53008,2.14614,1.92074,0.0013268,0.0013268,0.0013268
19,175.97,1.12971,1.17252,1.3668,0.53511,0.36833,0.39232,0.23483,1.57248,2.15134,1.90769,0.0012872,0.0012872,0.0012872
20,185.105,1.08519,1.12207,1.31176,0.47612,0.36518,0.35476,0.2107,1.6041,2.34372,1.89334,0.0012476,0.0012476,0.0012476
21,194.174,1.08074,1.08928,1.32968,0.51038,0.28778,0.31802,0.19334,1.64914,2.37689,1.94834,0.001208,0.001208,0.001208
22,203.221,1.08798,1.15894,1.35481,0.48183,0.39457,0.40786,0.23484,1.61415,2.14457,1.88818,0.0011684,0.0011684,0.0011684
23,212.41,1.04577,1.07549,1.3552,0.51953,0.37466,0.38014,0.21859,1.68752,2.35457,1.89937,0.0011288,0.0011288,0.0011288
24,221.406,1.17101,1.13574,1.3279,0.58724,0.3095,0.36274,0.21594,1.656,2.25056,1.92579,0.0010892,0.0010892,0.0010892
25,230.438,1.05614,1.05961,1.30463,0.42994,0.39276,0.35625,0.19014,1.75265,2.25214,2.04416,0.0010496,0.0010496,0.0010496
26,239.404,1.0302,0.99133,1.29769,0.5385,0.34847,0.38095,0.21488,1.795,2.17615,2.07581,0.00101,0.00101,0.00101
27,248.409,0.96888,0.94928,1.28352,0.46869,0.38914,0.38004,0.22103,1.71695,2.08839,2.06584,0.0009704,0.0009704,0.0009704
28,257.549,1.11674,1.05092,1.30527,0.4669,0.4181,0.37965,0.23009,1.61119,2.01097,2.06472,0.0009308,0.0009308,0.0009308
29,266.484,1.00381,0.95769,1.31282,0.5078,0.40543,0.39038,0.24235,1.55453,1.95473,1.95237,0.0008912,0.0008912,0.0008912
30,275.466,1.00951,1.0066,1.29245,0.53003,0.39095,0.38589,0.23726,1.55989,1.98575,1.9468,0.0008516,0.0008516,0.0008516
31,284.41,0.92121,0.8989,1.22947,0.57112,0.36742,0.39756,0.241,1.56455,2.05908,1.93912,0.000812,0.000812,0.000812
32,293.484,0.97702,0.94417,1.24183,0.54191,0.38281,0.39412,0.23628,1.55469,2.00539,1.90255,0.0007724,0.0007724,0.0007724
33,302.562,1.02457,0.96548,1.2478,0.54899,0.30407,0.33973,0.20017,1.63916,2.19561,1.99115,0.0007328,0.0007328,0.0007328
34,311.508,1.02502,0.9794,1.28047,0.50834,0.34842,0.34212,0.20917,1.61213,2.11414,1.96237,0.0006932,0.0006932,0.0006932
35,320.53,0.95369,0.91628,1.25169,0.51319,0.36199,0.35549,0.22261,1.57798,2.0708,1.91551,0.0006536,0.0006536,0.0006536
36,329.448,0.8761,0.83544,1.19873,0.5309,0.37557,0.3725,0.23033,1.57164,2.04863,1.88765,0.000614,0.000614,0.000614
37,338.461,0.91759,0.90673,1.26687,0.53995,0.3819,0.38923,0.23566,1.57468,2.03955,1.89607,0.0005744,0.0005744,0.0005744
38,347.758,0.90325,0.89374,1.23195,0.50255,0.40814,0.39732,0.24419,1.57045,1.94525,1.93539,0.0005348,0.0005348,0.0005348
39,356.706,0.90936,0.86265,1.22291,0.52092,0.42262,0.41504,0.25393,1.56949,1.89103,1.92486,0.0004952,0.0004952,0.0004952
40,365.69,0.95984,0.86472,1.23387,0.52904,0.42805,0.41764,0.25523,1.56805,1.9002,1.92593,0.0004556,0.0004556,0.0004556
41,384.01,0.77854,0.84292,1.17466,0.55401,0.41086,0.41444,0.25316,1.55323,1.9185,1.9093,0.000416,0.000416,0.000416
