epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8074,1.72375,2.01174,1.18207,0.54784,0.34957,0.37733,0.18764,1.64766,1.84056,1.16311,0.000663446,0.000663446,0.000663446
2,77.996,1.72609,1.6145,1.16494,0.59877,0.43034,0.4678,0.24116,1.65161,1.47647,1.18221,0.00130378,0.00130378,0.00130378
3,114.258,1.66603,1.54492,1.15364,0.59364,0.44363,0.48194,0.24731,1.61171,1.38476,1.1551,0.00191771,0.00191771,0.00191771
4,153.697,1.67955,1.49064,1.14543,0.65122,0.50892,0.5481,0.30259,1.48062,1.23386,1.09511,0.0018812,0.0018812,0.0018812
5,190.816,1.63757,1.46547,1.14776,0.63311,0.49631,0.53836,0.29335,1.48064,1.28251,1.10993,0.0018416,0.0018416,0.0018416
6,229.325,1.61413,1.37062,1.12409,0.65361,0.53213,0.57237,0.309,1.44282,1.30986,1.08643,0.001802,0.001802,0.001802
7,267.637,1.56703,1.3241,1.10956,0.65826,0.5204,0.5626,0.32096,1.39517,1.19755,1.06533,0.0017624,0.0017624,0.0017624
8,305.311,1.55965,1.35554,1.11312,0.65789,0.51581,0.55616,0.30558,1.47715,1.26015,1.11615,0.0017228,0.0017228,0.0017228
9,342.561,1.54987,1.30289,1.09955,0.66552,0.55197,0.58574,0.33662,1.3672,1.13316,1.06913,0.0016832,0.0016832,0.0016832
10,380.159,1.52775,1.36554,1.09619,0.6765,0.55482,0.60434,0.34183,1.39034,1.10523,1.07461,0.0016436,0.0016436,0.0016436
11,417.308,1.50062,1.27281,1.06167,0.6633,0.54298,0.59666,0.34014,1.37645,1.11871,1.06792,0.001604,0.001604,0.001604
12,454.109,1.48613,1.24328,1.07294,0.65957,0.55625,0.58957,0.34388,1.36113,1.10413,1.04985,0.0015644,0.0015644,0.0015644
13,493.422,1.49177,1.25191,1.0649,0.6679,0.52254,0.58509,0.33237,1.3986,1.13615,1.06035,0.0015248,0.0015248,0.0015248
14,531.807,1.47504,1.24509,1.06936,0.66907,0.57751,0.61222,0.35929,1.32962,1.01745,1.04253,0.0014852,0.0014852,0.0014852
15,570.463,1.45986,1.21915,1.06503,0.67425,0.54411,0.59507,0.34134,1.34157,1.08493,1.04545,0.0014456,0.0014456,0.0014456
16,609.699,1.43291,1.16257,1.06188,0.68657,0.57649,0.62198,0.36446,1.3044,1.02166,1.03282,0.001406,0.001406,0.001406
17,647.8,1.41127,1.15089,1.05331,0.669,0.54316,0.59554,0.34916,1.3183,1.0571,1.03757,0.0013664,0.0013664,0.0013664
18,685.151,1.42756,1.1817,1.05244,0.68919,0.58516,0.62758,0.36867,1.32394,1.01525,1.04282,0.0013268,0.0013268,0.0013268
19,722.022,1.37347,1.10627,1.0367,0.684,0.59495,0.63874,0.37847,1.2898,0.99721,1.02956,0.0012872,0.0012872,0.0012872
