epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,760.013,1.40401,1.16492,1.04,0.69048,0.56502,0.62511,0.36799,1.28254,1.02531,1.02251,0.0012476,0.0012476,0.0012476
21,797.79,1.38473,1.16699,1.03371,0.69804,0.60709,0.65057,0.38226,1.2731,0.99283,1.01648,0.001208,0.001208,0.001208
22,834.761,1.37509,1.13326,1.03927,0.67277,0.60023,0.62991,0.37445,1.27299,0.99787,1.01906,0.0011684,0.0011684,0.0011684
23,872.292,1.38807,1.08807,1.03084,0.70333,0.59689,0.64779,0.38232,1.27006,0.97808,1.0245,0.0011288,0.0011288,0.0011288
24,910.227,1.37011,1.1047,1.03738,0.68462,0.58618,0.63153,0.37542,1.2573,0.98956,1.01401,0.0010892,0.0010892,0.0010892
25,947.129,1.34428,1.09235,1.01869,0.68956,0.59587,0.64071,0.3796,1.27167,0.99465,1.01939,0.0010496,0.0010496,0.0010496
26,983.961,1.32172,1.07855,1.00981,0.67397,0.60836,0.64303,0.3885,1.25153,0.94098,1.00887,0.00101,0.00101,0.00101
27,1020.51,1.35804,1.10624,1.02299,0.7024,0.61864,0.66312,0.40136,1.23404,0.94024,0.99706,0.0009704,0.0009704,0.0009704
28,1056.74,1.30953,1.03379,1.00957,0.70367,0.60971,0.65307,0.39061,1.24245,0.94047,1.01231,0.0009308,0.0009308,0.0009308
29,1093.91,1.31564,1.01999,1.0019,0.71506,0.61856,0.66553,0.40921,1.20633,0.919,1.0021,0.0008912,0.0008912,0.0008912
30,1129.66,1.30966,1.06637,1.01424,0.70368,0.60974,0.65323,0.39198,1.25204,0.96044,1.00958,0.0008516,0.0008516,0.0008516
31,1167.4,1.29997,1.03911,1.00772,0.70819,0.61423,0.65771,0.39368,1.22345,0.92747,0.99531,0.000812,0.000812,0.000812
32,1206.49,1.30781,1.02696,1.01359,0.72529,0.61423,0.67175,0.40744,1.20876,0.92706,0.99393,0.0007724,0.0007724,0.0007724
33,1246.6,1.29928,0.9951,1.01015,0.71242,0.62443,0.6703,0.40387,1.2192,0.92474,1.00377,0.0007328,0.0007328,0.0007328
34,1285,1.28837,0.98852,0.99791,0.71474,0.6359,0.68073,0.4141,1.18975,0.89657,0.99713,0.0006932,0.0006932,0.0006932
35,1323.12,1.28011,0.98567,0.99694,0.7153,0.64125,0.68072,0.41285,1.19506,0.88675,0.99683,0.0006536,0.0006536,0.0006536
36,1360.87,1.26904,0.99063,1.00558,0.72169,0.62621,0.67431,0.41131,1.18317,0.90113,0.9906,0.000614,0.000614,0.000614
37,1400.97,1.29636,0.99392,0.99663,0.7136,0.63208,0.67031,0.41188,1.18846,0.87612,0.98988,0.0005744,0.0005744,0.0005744
38,1439.75,1.26476,0.97769,0.99502,0.72761,0.63335,0.68285,0.41941,1.17279,0.87265,0.98409,0.0005348,0.0005348,0.0005348
39,1477.27,1.28749,0.9753,0.99596,0.72565,0.63796,0.68587,0.4239,1.17306,0.86567,0.98492,0.0004952,0.0004952,0.0004952
40,1513.61,1.23757,0.93547,0.978,0.72272,0.62672,0.67631,0.41879,1.16768,0.87328,0.98468,0.0004556,0.0004556,0.0004556
41,1560.04,1.1916,0.94144,0.9738,0.72057,0.62825,0.67897,0.41756,1.17586,0.89009,0.98609,0.000416,0.000416,0.000416
42,1596.98,1.16292,0.89113,0.96644,0.69985,0.63137,0.66966,0.4112,1.16496,0.89258,0.98199,0.0003764,0.0003764,0.0003764
43,1633.65,1.167,0.89374,0.95852,0.72404,0.63685,0.6802,0.41616,1.15699,0.87891,0.97475,0.0003368,0.0003368,0.0003368
44,1671.27,1.14657,0.87689,0.95741,0.71263,0.63356,0.67338,0.4153,1.16041,0.86701,0.97833,0.0002972,0.0002972,0.0002972
45,1706.64,1.14415,0.874,0.95924,0.72634,0.62774,0.67282,0.41908,1.14928,0.86089,0.97575,0.0002576,0.0002576,0.0002576
46,1741.99,1.13611,0.86853,0.9477,0.72845,0.65094,0.69053,0.42509,1.14638,0.86743,0.97519,0.000218,0.000218,0.000218
47,1778.03,1.1272,0.86166,0.94607,0.73066,0.64482,0.69242,0.42605,1.14385,0.85063,0.97067,0.0001784,0.0001784,0.0001784
48,1814,1.10454,0.84962,0.94697,0.735,0.64737,0.69061,0.42996,1.13491,0.84121,0.96898,0.0001388,0.0001388,0.0001388
49,1850.31,1.12418,0.84988,0.94587,0.74235,0.63539,0.69227,0.4305,1.13095,0.84415,0.96616,9.92e-05,9.92e-05,9.92e-05
50,1884.06,1.11145,0.85332,0.94391,0.74402,0.63882,0.69154,0.43222,1.12407,0.84629,0.96623,5.96e-05,5.96e-05,5.96e-05
