epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.517,1.75452,2.2004,1.19099,0.52099,0.40184,0.40914,0.22928,1.57177,1.56539,1.14605,0.000665141,0.000665141,0.000665141
2,243.853,1.74168,1.91112,1.2029,0.53685,0.43881,0.44598,0.21899,1.6582,1.577,1.1947,0.00130544,0.00130544,0.00130544
3,328.542,1.72564,1.82231,1.20173,0.57683,0.44904,0.45596,0.22598,1.69899,1.44607,1.18483,0.00191933,0.00191933,0.00191933
4,412.58,1.74139,1.86035,1.18259,0.58576,0.44671,0.47731,0.24509,1.62278,1.49795,1.16899,0.0018812,0.0018812,0.0018812
5,566.482,1.67162,1.66776,1.1697,0.58619,0.48688,0.51505,0.27631,1.54747,1.33877,1.14033,0.0018416,0.0018416,0.0018416
