epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9738,1.83709,2.00881,1.18732,0.54541,0.40592,0.41053,0.20232,1.71036,1.48428,1.15261,0.000663768,0.000663768,0.000663768
2,163.61,1.78744,1.58518,1.16222,0.57556,0.40541,0.40804,0.20429,1.73557,1.35358,1.17462,0.00130409,0.00130409,0.00130409
3,235.373,1.78864,1.5178,1.15421,0.56354,0.40719,0.41812,0.21837,1.71032,1.35211,1.14537,0.00191802,0.00191802,0.00191802
4,305.656,1.75897,1.4999,1.13505,0.60932,0.44034,0.47141,0.23149,1.65997,1.29221,1.13025,0.0018812,0.0018812,0.0018812
5,376.33,1.71703,1.46226,1.11869,0.54376,0.41994,0.43059,0.20076,1.66755,1.38157,1.11446,0.0018416,0.0018416,0.0018416
6,446.598,1.72669,1.46969,1.11515,0.59882,0.43576,0.46371,0.23403,1.62505,1.34114,1.10386,0.001802,0.001802,0.001802
7,517.002,1.67243,1.43108,1.11133,0.64235,0.48955,0.51991,0.26954,1.61571,1.21945,1.08375,0.0017624,0.0017624,0.0017624
8,593.596,1.62708,1.34891,1.09491,0.63568,0.50433,0.52139,0.28234,1.55138,1.18468,1.08934,0.0017228,0.0017228,0.0017228
9,665.329,1.65435,1.3539,1.0981,0.63446,0.47396,0.50783,0.2711,1.54608,1.16897,1.08048,0.0016832,0.0016832,0.0016832
10,736.534,1.60524,1.31244,1.08154,0.61803,0.49184,0.52205,0.27176,1.55432,1.15732,1.07328,0.0016436,0.0016436,0.0016436
11,807.818,1.59841,1.29703,1.0773,0.62508,0.4796,0.50733,0.26653,1.56153,1.17508,1.08172,0.001604,0.001604,0.001604
12,878.715,1.55296,1.30747,1.07078,0.65722,0.5001,0.53636,0.29592,1.5248,1.0955,1.05324,0.0015644,0.0015644,0.0015644
13,950.076,1.60234,1.26556,1.06022,0.64031,0.48241,0.50995,0.27453,1.53916,1.13659,1.07755,0.0015248,0.0015248,0.0015248
14,1021.54,1.54365,1.25314,1.0592,0.63733,0.51842,0.54905,0.29653,1.47865,1.07896,1.04476,0.0014852,0.0014852,0.0014852
15,1092.66,1.5382,1.251,1.05951,0.65863,0.5204,0.5567,0.29682,1.49914,1.05312,1.05116,0.0014456,0.0014456,0.0014456
16,1164.47,1.56013,1.22094,1.05066,0.66621,0.52193,0.56342,0.31071,1.45663,1.02679,1.03487,0.001406,0.001406,0.001406
17,1235.58,1.50651,1.19287,1.03356,0.65603,0.53238,0.55982,0.3077,1.45496,1.03597,1.0362,0.0013664,0.0013664,0.0013664
18,1307.28,1.50586,1.19354,1.04903,0.65124,0.53516,0.56305,0.30909,1.44604,1.01271,1.03903,0.0013268,0.0013268,0.0013268
19,1378.41,1.49687,1.17361,1.04511,0.67331,0.51867,0.56753,0.32156,1.41811,1.02866,1.02525,0.0012872,0.0012872,0.0012872
20,1449.99,1.48225,1.1822,1.04083,0.65485,0.53794,0.56915,0.32361,1.40146,0.99115,1.01404,0.0012476,0.0012476,0.0012476
21,1521.08,1.50259,1.15044,1.04217,0.66541,0.54589,0.57893,0.3193,1.4253,1.03723,1.01977,0.001208,0.001208,0.001208
22,1592.37,1.45764,1.13834,1.02397,0.67425,0.54105,0.57684,0.32096,1.40599,0.99557,1.02226,0.0011684,0.0011684,0.0011684
23,1663.78,1.48498,1.17866,1.03919,0.68282,0.5538,0.58779,0.32961,1.40503,1.03437,1.01818,0.0011288,0.0011288,0.0011288
24,1735.18,1.48291,1.13068,1.02123,0.67693,0.54793,0.58279,0.32759,1.38677,0.98107,1.01296,0.0010892,0.0010892,0.0010892
25,1806.37,1.47871,1.15584,1.0323,0.6731,0.56323,0.59946,0.33148,1.39578,0.96607,1.0141,0.0010496,0.0010496,0.0010496
26,1877.24,1.41458,1.07675,1.01377,0.68837,0.55482,0.59812,0.341,1.3648,0.94984,1.00346,0.00101,0.00101,0.00101
27,1948.26,1.44878,1.126,1.0185,0.67524,0.56461,0.59441,0.33734,1.38077,0.95727,1.01485,0.0009704,0.0009704,0.0009704
28,2019.35,1.42045,1.06869,1.01074,0.69272,0.5668,0.60387,0.34142,1.36749,0.97417,1.0075,0.0009308,0.0009308,0.0009308
29,2091.04,1.40251,1.08632,1.00974,0.70466,0.55227,0.60014,0.34168,1.36153,0.94176,1.00608,0.0008912,0.0008912,0.0008912
30,2162.19,1.42787,1.07177,1.0037,0.70468,0.55303,0.60081,0.34645,1.36564,0.95243,1.00685,0.0008516,0.0008516,0.0008516
31,2233.75,1.42639,1.07848,1.00977,0.68016,0.55201,0.59367,0.34314,1.36229,0.94382,1.00787,0.000812,0.000812,0.000812
32,2305.41,1.37905,1.08852,0.99846,0.68316,0.55584,0.59567,0.33693,1.35295,0.97551,0.9988,0.0007724,0.0007724,0.0007724
33,2376.46,1.35784,1.03738,0.99312,0.67566,0.57522,0.60443,0.34428,1.34293,0.96492,0.99805,0.0007328,0.0007328,0.0007328
34,2447.4,1.38082,1.03901,1.0026,0.68759,0.56567,0.60733,0.34576,1.33995,0.94275,1.00196,0.0006932,0.0006932,0.0006932
35,2518.69,1.36713,1.03149,0.99462,0.70374,0.56731,0.6155,0.35521,1.32205,0.92176,0.99502,0.0006536,0.0006536,0.0006536
36,2589.84,1.35772,1.02161,0.99614,0.68486,0.56349,0.60222,0.34717,1.32828,0.94143,1.00215,0.000614,0.000614,0.000614
37,2660.55,1.35396,1.01585,0.99025,0.68768,0.56502,0.61227,0.35985,1.31043,0.90202,0.99383,0.0005744,0.0005744,0.0005744
38,2731.83,1.33756,0.99138,0.98667,0.70316,0.57139,0.61901,0.36407,1.30135,0.92107,0.98886,0.0005348,0.0005348,0.0005348
39,2803.08,1.35501,0.98873,0.98159,0.69467,0.57778,0.62173,0.35688,1.34013,0.90953,0.99621,0.0004952,0.0004952,0.0004952
40,2874.37,1.33878,0.98845,0.9763,0.68703,0.58312,0.61955,0.36063,1.30525,0.89895,0.99066,0.0004556,0.0004556,0.0004556
41,2950.81,1.25665,0.94376,0.96521,0.71112,0.58108,0.62216,0.36094,1.29874,0.91716,0.98814,0.000416,0.000416,0.000416
42,3019.95,1.25509,0.9428,0.96091,0.71302,0.57828,0.62417,0.35666,1.31282,0.89563,0.98633,0.0003764,0.0003764,0.0003764
43,3088.71,1.22748,0.91878,0.94944,0.70016,0.57098,0.61733,0.36224,1.28963,0.89987,0.98385,0.0003368,0.0003368,0.0003368
44,3157.44,1.19904,0.91896,0.94851,0.68431,0.57646,0.613,0.35696,1.2889,0.91223,0.98889,0.0002972,0.0002972,0.0002972
45,3226.49,1.21581,0.91181,0.9421,0.70157,0.57843,0.62516,0.36607,1.27401,0.88942,0.97813,0.0002576,0.0002576,0.0002576
46,3295.45,1.19172,0.86988,0.9461,0.71478,0.57379,0.62527,0.36782,1.26485,0.88741,0.97408,0.000218,0.000218,0.000218
47,3364.4,1.22696,0.90534,0.93685,0.70847,0.58363,0.62742,0.36894,1.26286,0.87875,0.97483,0.0001784,0.0001784,0.0001784
48,3433.51,1.15857,0.87118,0.93368,0.70652,0.58924,0.63217,0.3717,1.26125,0.87348,0.97295,0.0001388,0.0001388,0.0001388
49,3502.81,1.18011,0.84936,0.93115,0.70129,0.59638,0.63329,0.37281,1.25477,0.86696,0.96888,9.92e-05,9.92e-05,9.92e-05
50,3573.22,1.18194,0.84783,0.93279,0.70299,0.59663,0.6368,0.37555,1.24963,0.86325,0.96713,5.96e-05,5.96e-05,5.96e-05
