epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.05,1.25764,4.73444,0.01769,0.37218,0.21231,0.14362,0.09984,1.21639,5.58169,0.02262,0.000256088,0.000256088,0.000256088
2,346.02,1.30244,3.54477,0.01799,0.25944,0.29812,0.236,0.15769,1.26965,3.5602,0.02461,0.000502276,0.000502276,0.000502276
3,517.737,1.3306,2.93618,0.01873,0.30414,0.3366,0.2591,0.17132,1.28753,2.74776,0.0252,0.000738312,0.000738312,0.000738312
4,690.332,1.33121,2.64348,0.01844,0.37268,0.30657,0.23824,0.15289,1.35828,2.5505,0.02755,0.000723321,0.000723321,0.000723321
5,862.62,1.35391,2.44894,0.01874,0.34926,0.38953,0.26235,0.17082,1.36425,2.40542,0.02665,0.000708095,0.000708095,0.000708095
6,1034.88,1.3122,2.31705,0.01857,0.27405,0.39906,0.26675,0.16835,1.29781,2.23062,0.02469,0.000692869,0.000692869,0.000692869
7,1208.35,1.32319,2.26258,0.01834,0.2931,0.32986,0.25997,0.16442,1.35989,2.22071,0.02706,0.000677643,0.000677643,0.000677643
8,1380.44,1.32126,2.18396,0.01806,0.31292,0.40602,0.2932,0.19465,1.26917,2.12524,0.02359,0.000662417,0.000662417,0.000662417
9,1552.28,1.31215,2.11409,0.01775,0.31261,0.41503,0.29353,0.19356,1.30202,2.17852,0.02427,0.00064719,0.00064719,0.00064719
10,1724.2,1.31159,2.05638,0.01787,0.32633,0.39544,0.31389,0.20307,1.3124,2.02812,0.0251,0.000631964,0.000631964,0.000631964
11,1897.25,1.29699,1.99192,0.01742,0.36508,0.36297,0.30132,0.18968,1.3288,2.01581,0.02563,0.000616738,0.000616738,0.000616738
12,2069.09,1.29612,1.99313,0.01749,0.35275,0.33142,0.29783,0.19657,1.29128,2.06989,0.02402,0.000601512,0.000601512,0.000601512
13,2242.15,1.2963,1.88776,0.01744,0.37502,0.35753,0.32291,0.21375,1.30605,1.96759,0.02476,0.000586286,0.000586286,0.000586286
14,2414.66,1.27428,1.905,0.0171,0.34813,0.39609,0.31415,0.20514,1.28922,2.05089,0.02434,0.000571059,0.000571059,0.000571059
15,2587.51,1.27763,1.85637,0.01666,0.33738,0.36485,0.28841,0.18497,1.29848,2.10244,0.02408,0.000555833,0.000555833,0.000555833
16,2760.38,1.27396,1.79688,0.0172,0.35922,0.34843,0.30244,0.18984,1.36302,2.04847,0.02685,0.000540607,0.000540607,0.000540607
17,2932.7,1.26462,1.76721,0.01657,0.35203,0.34926,0.29832,0.19895,1.25597,2.08586,0.02261,0.000525381,0.000525381,0.000525381
18,3105.7,1.24366,1.71542,0.01647,0.38765,0.36567,0.32622,0.21322,1.29446,1.95956,0.02329,0.000510155,0.000510155,0.000510155
19,3277.79,1.25566,1.68356,0.01652,0.35737,0.35038,0.30609,0.20019,1.30244,2.04571,0.02409,0.000494928,0.000494928,0.000494928
20,3449.85,1.2455,1.66377,0.01638,0.34947,0.40987,0.32323,0.20319,1.31132,2.10827,0.02433,0.000479702,0.000479702,0.000479702
21,3622.32,1.24381,1.6364,0.01622,0.30858,0.37522,0.28247,0.18013,1.30897,2.13126,0.02457,0.000464476,0.000464476,0.000464476
22,3794.11,1.24153,1.59638,0.01633,0.40799,0.33084,0.32968,0.21568,1.29694,1.97962,0.02406,0.00044925,0.00044925,0.00044925
23,3966.87,1.22227,1.58049,0.01642,0.3688,0.37793,0.31758,0.2081,1.27786,2.01804,0.02348,0.000434024,0.000434024,0.000434024
24,4139.82,1.22191,1.53258,0.01607,0.37192,0.3541,0.31451,0.2091,1.28199,2.08155,0.02317,0.000418797,0.000418797,0.000418797
25,4312.72,1.21789,1.51121,0.01607,0.37196,0.34268,0.29861,0.19412,1.31695,2.0667,0.02447,0.000403571,0.000403571,0.000403571
26,4484.78,1.20576,1.47026,0.01602,0.3482,0.38931,0.30063,0.19319,1.288,2.1052,0.02293,0.000388345,0.000388345,0.000388345
27,4657.46,1.19765,1.44425,0.0159,0.32824,0.40587,0.30007,0.1914,1.28472,2.10147,0.02335,0.000373119,0.000373119,0.000373119
28,4829.56,1.20543,1.45571,0.0155,0.37588,0.35088,0.29762,0.19279,1.27156,2.13943,0.02317,0.000357893,0.000357893,0.000357893
29,5002.49,1.1884,1.39022,0.01534,0.39854,0.32594,0.29758,0.19285,1.28624,2.19253,0.02309,0.000342666,0.000342666,0.000342666
30,5174.65,1.19541,1.39921,0.01541,0.37915,0.3613,0.2981,0.1931,1.27913,2.21043,0.02306,0.00032744,0.00032744,0.00032744
31,5347.93,1.18754,1.36109,0.01536,0.35332,0.38649,0.31493,0.20486,1.26851,2.1278,0.02273,0.000312214,0.000312214,0.000312214
32,5520.38,1.17401,1.32769,0.01509,0.39805,0.36984,0.30716,0.20274,1.2934,2.20836,0.02318,0.000296988,0.000296988,0.000296988
33,5692.99,1.1686,1.32229,0.01494,0.36659,0.34147,0.30462,0.20342,1.27504,2.19643,0.02262,0.000281762,0.000281762,0.000281762
34,5865.49,1.14444,1.27633,0.01474,0.35525,0.39003,0.29603,0.18942,1.30435,2.26751,0.02356,0.000266535,0.000266535,0.000266535
35,6037.83,1.13871,1.25874,0.0151,0.38923,0.36493,0.31239,0.20179,1.29819,2.13964,0.0233,0.000251309,0.000251309,0.000251309
36,6211.78,1.14474,1.24567,0.0147,0.36972,0.36697,0.31096,0.20645,1.30044,2.1756,0.02343,0.000236083,0.000236083,0.000236083
37,6384.64,1.13931,1.22215,0.01458,0.40514,0.3407,0.31408,0.20433,1.27912,2.16519,0.02269,0.000220857,0.000220857,0.000220857
38,6557.88,1.13899,1.20781,0.01465,0.3641,0.36629,0.29901,0.19463,1.27871,2.26867,0.02271,0.000205631,0.000205631,0.000205631
39,6731.26,1.12914,1.20413,0.01461,0.40363,0.33876,0.30453,0.19593,1.29427,2.26199,0.02351,0.000190404,0.000190404,0.000190404
40,6903.65,1.12408,1.17385,0.01425,0.37478,0.3697,0.30469,0.19652,1.27156,2.25093,0.02236,0.000175178,0.000175178,0.000175178
41,7086.91,1.11667,1.04234,0.01782,0.3868,0.33061,0.30314,0.19506,1.30056,2.31084,0.0232,0.000159952,0.000159952,0.000159952
42,7257.44,1.08396,0.95711,0.01729,0.36108,0.3564,0.28965,0.18595,1.30329,2.33949,0.02301,0.000144726,0.000144726,0.000144726
43,7427.68,1.08124,0.93153,0.01699,0.32728,0.35187,0.2947,0.19251,1.29294,2.3696,0.02301,0.0001295,0.0001295,0.0001295
