epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4719,1.9086,2.4086,1.36317,0.34167,0.1801,0.20267,0.09397,1.65174,2.2797,1.22735,0.000659864,0.000659864,0.000659864
2,33.2792,1.73835,1.87001,1.29917,0.46415,0.31864,0.32918,0.1701,1.71509,1.91996,1.28341,0.00130027,0.00130027,0.00130027
3,49.2628,1.77719,1.8309,1.32453,0.35461,0.37602,0.26272,0.12784,1.71265,2.05731,1.31154,0.00191427,0.00191427,0.00191427
4,63.2051,1.75053,1.80336,1.31845,0.52896,0.46633,0.44809,0.22986,1.64918,1.56279,1.25689,0.0018812,0.0018812,0.0018812
5,77.1565,1.73566,1.72045,1.26319,0.56756,0.45936,0.44653,0.22449,1.66142,1.58265,1.24868,0.0018416,0.0018416,0.0018416
6,91.2316,1.7114,1.69394,1.275,0.54888,0.47041,0.46111,0.25688,1.58183,1.49941,1.22636,0.001802,0.001802,0.001802
7,105.827,1.67479,1.65801,1.28075,0.57332,0.50051,0.48365,0.24608,1.59715,1.49455,1.22723,0.0017624,0.0017624,0.0017624
8,120.118,1.64617,1.6283,1.26036,0.59971,0.50372,0.51158,0.28604,1.53236,1.3735,1.22311,0.0017228,0.0017228,0.0017228
9,133.767,1.65996,1.58808,1.2572,0.62013,0.50408,0.51344,0.2784,1.56011,1.33782,1.22076,0.0016832,0.0016832,0.0016832
10,147.298,1.62551,1.59776,1.24771,0.60481,0.50612,0.51422,0.28179,1.53473,1.38933,1.21517,0.0016436,0.0016436,0.0016436
11,160.937,1.60127,1.48247,1.21909,0.58944,0.48776,0.50054,0.28358,1.52677,1.32927,1.18918,0.001604,0.001604,0.001604
12,175.964,1.60051,1.54766,1.22514,0.62714,0.52434,0.53286,0.29595,1.55699,1.34769,1.20829,0.0015644,0.0015644,0.0015644
13,190.518,1.56792,1.56362,1.23047,0.5915,0.52601,0.51933,0.28441,1.53242,1.33495,1.19523,0.0015248,0.0015248,0.0015248
14,204.661,1.5238,1.5473,1.2201,0.60898,0.5149,0.52433,0.29739,1.50494,1.44652,1.17973,0.0014852,0.0014852,0.0014852
15,218.295,1.54433,1.50265,1.2068,0.61618,0.52602,0.53137,0.30437,1.46201,1.33948,1.145,0.0014456,0.0014456,0.0014456
16,231.844,1.50774,1.44201,1.17282,0.63977,0.5398,0.55599,0.31557,1.45996,1.28942,1.15511,0.001406,0.001406,0.001406
17,245.286,1.49968,1.46106,1.20022,0.62365,0.54235,0.55129,0.3064,1.45091,1.27113,1.15172,0.0013664,0.0013664,0.0013664
18,258.875,1.52858,1.41667,1.20766,0.66319,0.53673,0.56594,0.32072,1.41805,1.20739,1.15447,0.0013268,0.0013268,0.0013268
19,273.091,1.48239,1.39011,1.17227,0.61522,0.54898,0.55012,0.31256,1.43785,1.21484,1.14068,0.0012872,0.0012872,0.0012872
20,287.105,1.49683,1.37526,1.17555,0.6289,0.5449,0.54767,0.30456,1.41729,1.26763,1.1473,0.0012476,0.0012476,0.0012476
21,301.147,1.47368,1.38754,1.16162,0.64418,0.55714,0.58175,0.32978,1.41785,1.20376,1.13518,0.001208,0.001208,0.001208
22,315.202,1.48123,1.37755,1.17042,0.64304,0.55051,0.56679,0.32479,1.40487,1.18538,1.13087,0.0011684,0.0011684,0.0011684
23,329.19,1.45542,1.37185,1.16612,0.61508,0.58457,0.5816,0.33011,1.39794,1.20407,1.1352,0.0011288,0.0011288,0.0011288
24,342.972,1.4404,1.33054,1.1582,0.64295,0.56869,0.5823,0.34323,1.38726,1.15564,1.11857,0.0010892,0.0010892,0.0010892
25,356.467,1.42698,1.31208,1.15544,0.67462,0.58316,0.58967,0.34398,1.3541,1.13984,1.11681,0.0010496,0.0010496,0.0010496
26,369.887,1.42646,1.31706,1.14269,0.64802,0.57398,0.5943,0.34421,1.36194,1.14772,1.10721,0.00101,0.00101,0.00101
27,383.629,1.43599,1.2958,1.15383,0.64919,0.55612,0.57876,0.34412,1.34698,1.13308,1.10565,0.0009704,0.0009704,0.0009704
