epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,397.249,1.44082,1.28463,1.14955,0.63821,0.5551,0.57799,0.33677,1.36268,1.17816,1.11505,0.0009308,0.0009308,0.0009308
29,410.958,1.37704,1.24798,1.12511,0.63056,0.57473,0.58593,0.34928,1.34702,1.13579,1.10702,0.0008912,0.0008912,0.0008912
30,424.566,1.41354,1.3196,1.12642,0.6582,0.58112,0.57749,0.32919,1.37047,1.15511,1.10563,0.0008516,0.0008516,0.0008516
31,438.197,1.40583,1.31321,1.13411,0.65868,0.58367,0.60205,0.36047,1.33589,1.11794,1.10085,0.000812,0.000812,0.000812
32,451.916,1.3903,1.25118,1.13201,0.6504,0.58265,0.5903,0.35103,1.35035,1.10649,1.10423,0.0007724,0.0007724,0.0007724
33,465.409,1.37271,1.217,1.10868,0.67574,0.58622,0.6065,0.3653,1.32456,1.08343,1.09124,0.0007328,0.0007328,0.0007328
34,478.837,1.3541,1.21862,1.1113,0.69499,0.58571,0.60804,0.36415,1.32302,1.06268,1.0852,0.0006932,0.0006932,0.0006932
35,492.249,1.39755,1.24391,1.11616,0.65404,0.58112,0.59765,0.35645,1.33513,1.10392,1.08851,0.0006536,0.0006536,0.0006536
36,505.669,1.37546,1.2022,1.11198,0.66133,0.58214,0.60138,0.36133,1.31063,1.07361,1.08572,0.000614,0.000614,0.000614
37,519.372,1.3271,1.20245,1.11347,0.6756,0.59505,0.61391,0.36329,1.30737,1.095,1.08895,0.0005744,0.0005744,0.0005744
38,533.019,1.37771,1.22385,1.12827,0.65264,0.59031,0.60419,0.36573,1.30443,1.0679,1.07868,0.0005348,0.0005348,0.0005348
39,546.595,1.32573,1.17142,1.1026,0.67799,0.60153,0.61617,0.36998,1.29491,1.05955,1.07515,0.0004952,0.0004952,0.0004952
40,560.469,1.31011,1.17414,1.09079,0.67704,0.59337,0.61265,0.37582,1.27759,1.04398,1.06611,0.0004556,0.0004556,0.0004556
41,585.879,1.30004,1.19633,1.08546,0.65548,0.59694,0.61045,0.3663,1.30945,1.10244,1.08098,0.000416,0.000416,0.000416
42,601.786,1.24294,1.13938,1.06518,0.67513,0.59133,0.61082,0.36892,1.28639,1.0605,1.07329,0.0003764,0.0003764,0.0003764
43,616.368,1.26865,1.11154,1.06911,0.69175,0.59235,0.6234,0.38022,1.27873,1.05838,1.06546,0.0003368,0.0003368,0.0003368
44,629.843,1.20696,1.058,1.04319,0.7103,0.57602,0.61181,0.37632,1.26333,1.03886,1.05891,0.0002972,0.0002972,0.0002972
45,643.28,1.22124,1.07386,1.03857,0.70565,0.58587,0.61975,0.38113,1.26287,1.02594,1.05665,0.0002576,0.0002576,0.0002576
46,656.832,1.23093,1.06565,1.04171,0.70293,0.58793,0.62353,0.38193,1.2595,1.02084,1.05847,0.000218,0.000218,0.000218
47,670.546,1.20752,1.04561,1.04646,0.69417,0.59796,0.62912,0.38895,1.24999,1.00511,1.05122,0.0001784,0.0001784,0.0001784
48,684.901,1.20852,1.05433,1.04741,0.70309,0.59898,0.6318,0.38907,1.24989,1.00509,1.04821,0.0001388,0.0001388,0.0001388
49,698.779,1.20322,1.03031,1.03312,0.69787,0.60051,0.63139,0.3857,1.24908,1.00849,1.04762,9.92e-05,9.92e-05,9.92e-05
50,712.695,1.21208,1.04614,1.04854,0.71115,0.60671,0.63319,0.38919,1.24253,1.00358,1.04659,5.96e-05,5.96e-05,5.96e-05
